Count,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Ema_Acc,Ema_Gyr,Activity
1,1687,1859,-451,230,-12,-74,1550,159,7
2,2153,1993,-418,345,-102,-125,1963,203,7
3,2738,2376,-301,436,-233,-214,2637,270,7
4,3252,2530,-179,648,-248,-218,3124,361,7
5,4029,2192,-14,681,-413,-287,3586,458,7
6,4251,2145,289,696,-611,-278,3770,559,7
7,4238,1866,734,722,-769,-255,3688,664,7
8,4007,1400,1008,667,-874,-276,3362,758,7
9,3490,1128,1276,615,-916,-319,2883,836,7
10,2757,854,1072,652,-773,-271,2078,878,7
13,1523,320,681,535,-595,0,698,865,7
14,1299,63,627,545,-499,68,443,840,7
15,1080,-130,1147,473,-576,58,580,822,7
16,669,-204,923,587,-436,88,158,804,7
17,621,-357,846,678,-265,186,108,794,7
18,556,-334,768,605,-168,257,5,770,7
19,672,-56,807,552,-95,305,51,744,7
20,612,129,836,566,-19,306,44,723,7
21,672,259,837,585,94,307,104,712,7
22,716,412,756,549,199,343,119,705,7
23,630,709,578,496,370,269,110,699,7
24,817,774,422,548,579,109,201,720,7
25,1193,665,-50,569,682,90,366,754,7
26,1379,607,-207,388,733,49,520,769,7
27,1159,553,-571,250,875,-41,405,797,7
28,1735,483,-700,220,963,-7,932,835,7
29,1578,683,-412,20,871,237,768,848,7
30,2147,1376,-356,-152,1245,161,1574,931,7
31,3829,2086,78,-122,1665,129,3361,1080,7
32,5882,3120,-162,340,1571,-12,5660,1185,7
33,6421,2594,-750,802,1543,-484,5965,1309,7
34,5728,2070,-914,1003,1234,-580,5158,1386,7
35,5346,1694,-146,900,700,-478,4609,1356,7
36,5235,-1779,1113,1139,392,-208,4639,1329,7
37,3817,-47,-17,436,-327,-613,2817,1227,7
38,3055,-432,-172,72,-311,-803,2090,1154,7
39,2029,-263,348,-30,-265,-671,1075,1068,7
40,1431,-206,303,-79,-272,-501,477,969,7
41,961,-59,270,-42,-250,-398,0,869,7
42,766,28,340,85,-167,-319,161,769,7
43,586,-175,268,223,-111,-204,332,679,7
44,329,-350,129,199,-89,-73,502,589,7
45,229,-203,67,52,-54,53,686,489,7
46,241,36,64,-37,-18,126,748,418,7
47,271,150,35,-42,12,164,688,368,7
48,284,216,-6,-50,13,218,643,339,7
49,279,301,-24,-74,15,264,588,326,7
50,328,330,-49,-76,48,307,532,324,7
51,449,473,-55,-96,89,370,345,338,7
52,619,755,-56,-110,122,426,22,361,7
53,792,847,-117,-70,156,417,165,379,7
54,938,783,-176,-28,185,395,234,391,7
55,1119,736,-169,-73,179,444,349,409,7
56,1248,831,-76,-117,170,457,501,427,7
57,1369,867,-34,-67,192,432,620,437,7
58,1421,738,-75,-4,229,407,602,443,7
59,1450,599,-158,-16,233,391,576,445,7
60,1431,561,-181,-81,180,354,547,437,7
61,1420,597,-128,-172,81,274,545,416,7
62,1336,639,-53,-256,-5,163,481,393,7
63,1191,654,23,-305,-45,56,358,377,7
64,1051,653,72,-318,-39,-23,239,366,7
65,967,658,79,-278,-9,-75,382,350,7
1,1622,1844,-594,164,54,-118,1526,173,7
2,2149,2240,-610,273,-2,-164,2163,202,7
3,2716,2500,-463,320,-176,-285,2720,254,7
4,3209,2931,-170,454,-282,-333,3349,329,7
5,3779,2777,180,573,-431,-365,3693,424,7
6,4142,2578,715,631,-590,-380,3930,527,7
7,3870,2409,1041,705,-684,-374,3675,632,7
8,3920,1957,1090,745,-661,-376,3514,718,7
