Count,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Ema_Acc,Ema_Gyr,Activity
1,1788,1157,-635,-303,151,-90,1222,384,2
2,2055,1274,-768,-219,-93,-167,1536,365,2
3,2218,1447,-561,-150,-499,-309,1707,413,2
4,2241,1640,-138,-8,-767,-432,1780,506,2
5,2283,1842,233,180,-908,-442,1942,610,2
6,2340,1851,580,344,-1082,-417,2039,730,2
7,2359,1768,1003,349,-1275,-456,2113,863,2
8,1951,1649,1205,295,-1319,-492,1824,978,2
9,1599,1621,1255,281,-1214,-561,1599,1056,2
10,1222,1603,1159,363,-1024,-595,1325,1092,2
11,1078,1261,1030,368,-895,-620,952,1103,2
12,945,859,920,278,-802,-636,573,1095,2
13,880,453,868,132,-756,-659,316,1078,2
14,1013,93,913,71,-795,-640,366,1067,2
15,1137,-373,1258,11,-825,-530,736,1049,2
16,1123,-483,1673,-70,-828,-375,1072,1021,2
17,1001,-601,2094,-150,-678,-124,1397,958,2
18,842,-423,2053,-209,-458,73,1258,868,2
19,795,-367,1768,-222,-238,221,972,773,2
20,792,-503,1521,-222,-111,253,787,689,2
21,753,-470,1543,-158,-33,357,780,629,2
22,616,-409,1685,-114,138,499,840,609,2
23,857,-113,1557,-158,402,619,780,638,2
24,1166,302,1422,-179,698,651,863,705,2
25,1506,614,1342,-203,946,606,1108,792,2
26,1909,837,1252,-275,1180,528,1431,898,2
27,2552,1215,1250,-370,1455,373,2090,1027,2
28,3443,1593,1525,-386,1622,275,3088,1159,2
29,4087,1742,1290,-258,1524,147,3626,1238,2
30,4883,722,-56,-58,1743,235,3936,1342,2
31,6620,275,-2463,-640,1414,566,6068,1404,2
32,3112,2787,-2043,56,131,157,3650,1165,2
33,2520,615,-1896,370,-17,-193,2213,1016,2
34,1925,-444,-1441,238,-107,-272,1445,888,2
35,1213,-667,-1153,-108,38,-208,801,757,2
36,1237,-193,-1019,-24,109,-80,614,633,2
37,1262,-221,-1178,138,44,-5,740,535,2
38,1038,-313,-939,129,-65,-24,434,457,2
39,851,-278,-657,85,-105,-49,110,394,2
40,786,-223,-543,72,-101,-59,18,343,2
41,778,-33,-442,112,-133,-58,104,311,2
42,940,199,-395,166,-183,-47,38,299,2
43,880,204,-9,228,-337,-128,96,324,2
44,832,85,58,208,-412,-179,161,358,2
45,755,-153,-26,43,-384,-262,229,380,2
46,444,-247,-29,-191,-340,-234,491,394,2
47,32,-241,-1,-408,-197,-160,756,411,2
48,-204,-114,-127,-538,116,-64,734,440,2
49,-22,129,-335,-538,390,55,640,485,2
50,367,305,-521,-564,457,137,293,535,2
51,593,642,-547,-608,328,182,31,571,2
52,705,1030,-501,-567,109,200,344,579,2
53,829,1233,-334,-453,-31,221,522,564,2
54,778,1278,-272,-371,-36,223,520,538,2
55,786,1236,-289,-290,18,226,492,504,2
56,843,1241,-257,-249,32,222,522,470,2
57,895,1320,-297,-197,119,167,622,433,2
58,983,1249,-444,-199,213,133,650,410,2
59,1109,1155,-469,-245,210,152,668,399,2
60,1167,1177,-407,-223,93,175,706,379,2
61,1111,1108,-275,-156,-85,137,592,348,2
62,991,977,-138,-116,-248,72,398,335,2
63,881,825,-8,-124,-342,29,207,340,2
64,789,723,105,-159,-358,14,75,350,2
65,707,715,140,-182,-305,18,323,351,2
1,936,1448,874,347,-693,-602,933,702,2
2,909,1352,976,297,-787,-636,899,772,2
3,941,1354,1257,260,-820,-697,1073,839,2
4,1230,1241,1366,157,-844,-816,1217,908,2
5,1260,875,1549,-3,-818,-972,1180,980,2
6,835,568,1200,-141,-612,-943,568,1010,2
7,830,207,678,-186,-389,-889,91,1006,2
8,1140,-230,452,-145,-442,-773,247,985,2
9,1002,-685,685,-126,-640,-628,393,969,2
10,556,-900,1207,-133,-690,-449,604,942,2
11,158,-866,1549,-92,-575,-189,781,876,2
12,-21,-892,1593,-112,-413,81,825,787,2
13,51,-430,1506,-164,-275,332,567,722,2
