Count,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Ema_Acc,Ema_Gyr,Activity
1,1447,560,-1055,26,427,230,876,428,0
2,1496,571,-1160,14,379,244,977,432,0
3,1469,579,-1082,-10,337,274,914,432,0
4,1394,656,-1059,-27,285,282,869,426,0
5,1312,730,-953,-12,254,282,778,416,0
6,1158,735,-886,31,208,262,632,400,0
7,979,809,-834,91,149,244,519,380,0
8,731,937,-921,155,101,219,503,361,0
9,644,1192,-989,192,71,153,677,340,0
10,356,1408,-1225,230,5,76,899,320,0
11,390,1682,-1441,270,-110,-28,1248,314,0
12,171,1840,-1739,348,-229,-172,1537,341,0
13,418,1883,-2090,305,-285,-361,1844,383,0
14,612,2305,-2666,356,-315,-474,2577,441,0
15,1322,2528,-3724,284,-417,-535,3691,499,0
16,2624,2559,-4178,248,-609,-690,4557,590,0
17,3772,1833,-4145,419,-782,-896,4896,724,0
18,4783,1515,-3629,495,-760,-763,5192,816,0
19,4470,1173,-2860,427,-742,-571,4434,859,0
20,3945,1124,-2158,463,-715,-370,3635,872,0
21,3146,920,-1502,424,-694,-216,2605,866,0
22,2505,886,-930,360,-611,-118,1815,836,0
23,1975,805,-387,451,-508,-78,1167,806,0
24,1502,543,-177,588,-378,-51,606,784,0
25,1238,322,-144,614,-271,-25,287,762,0
26,977,271,-63,582,-165,48,15,730,0
27,764,312,58,598,-74,106,172,706,0
28,495,278,208,645,11,118,395,696,0
29,303,268,297,715,123,45,498,702,0
30,255,57,137,784,256,-56,704,727,0
31,187,-213,-47,763,315,-66,712,747,0
32,41,-369,-147,681,367,2,600,752,0
33,17,-380,-168,575,451,125,584,750,0
34,126,-295,-239,394,503,297,599,740,0
35,566,121,-178,207,510,485,394,739,0
36,821,567,-16,143,490,627,2,753,0
37,1086,859,159,99,532,641,393,770,0
38,1683,1451,216,171,627,583,1232,790,0
39,1833,1640,-29,322,726,513,1459,821,0
40,1898,1448,-515,472,888,346,1442,869,0
41,2396,1441,-625,396,834,297,1864,889,0
42,1980,1121,-949,175,818,171,1465,882,0
43,2668,1517,-386,75,714,27,2093,849,0
44,2152,1301,-968,240,792,-76,1694,845,0
45,2694,1104,-644,327,802,-276,1981,858,0
46,3161,1311,-536,344,678,-275,2463,848,0
47,3328,1146,-429,532,731,-359,2545,873,0
48,3645,895,-205,630,519,-507,2758,890,0
49,3747,557,-420,634,355,-629,2811,904,0
50,3320,276,-451,512,249,-684,2361,901,0
51,2828,143,-335,341,109,-684,1851,875,0
52,2438,91,-327,255,94,-650,1461,841,0
53,1912,-12,-330,213,136,-561,940,795,0
54,1562,-27,-356,150,153,-436,602,733,0
55,1373,47,-319,76,125,-308,410,655,0
56,1174,91,-258,28,78,-231,205,573,0
57,965,132,-208,7,45,-174,4,494,0
58,775,166,-169,-5,31,-120,189,420,0
59,613,192,-145,-16,26,-72,341,351,0
60,544,281,-77,-4,32,-44,382,292,0
61,430,353,-100,70,50,-11,434,250,0
62,410,274,-167,75,49,32,479,219,0
63,416,332,-210,-28,41,101,427,198,0
64,448,525,-157,-113,31,155,292,197,0
2,1193,2834,-2382,457,-68,-196,2889,238,0
3,1890,2905,-2843,392,-182,-395,3482,307,0
4,2593,2756,-2461,462,-333,-503,3513,398,0
5,3168,2477,-1846,677,-521,-468,3424,513,0
6,3362,2027,-1305,733,-655,-403,3137,622,0
7,3133,1658,-744,683,-739,-297,2621,708,0
8,2658,1400,-310,621,-743,-183,2020,763,0
9,2008,1183,-27,583,-641,-93,1330,785,0
10,1620,1001,49,594,-468,-52,904,779,0
11,1409,878,47,673,-356,0,660,775,0
12,1319,682,51,742,-288,112,485,781,0
13,1140,561,86,720,-236,251,273,784,0
14,914,502,105,642,-160,339,48,776,0
15,720,556,187,625,-62,346,71,764,0
16,644,428,102,670,30,287,220,757,0
17,674,133,-12,649,76,292,312,748,0
18,622,-43,-15,509,64,411,376,730,0
19,779,-21,134,292,18,600,209,717,0
20,1407,276,404,110,-24,742,489,724,0
21,1889,411,769,-44,-85,821,1080,744,0
22,1665,1048,1026,-57,59,729,1218,742,0
23,2232,1452,890,340,354,818,1807,784,0
24,2481,1362,963,586,386,896,1989,855,0
25,2166,1332,399,604,559,741,1573,905,0
26,2953,1571,688,526,532,550,2414,910,0
27,2295,1457,13,409,625,452,1718,902,0
28,3154,1564,220,231,721,329,2527,887,0
29,2795,2182,10,344,779,309,2545,890,0
30,3489,1795,29,598,1066,139,2923,958,0
31,3943,1608,-64,801,941,-63,3258,1014,0
32,3947,1204,-445,949,866,-185,3150,1070,0
33,3634,501,-473,944,519,-408,2698,1086,0
34,3158,117,-281,818,91,-575,2172,1070,0
35,2456,-137,-284,649,-38,-630,1476,1037,0
36,1824,-382,-410,430,58,-581,908,974,0
37,1404,-400,-418,144,107,-433,518,873,0
38,1162,-134,-309,-41,83,-259,209,753,0
39,1000,109,-214,-74,51,-153,28,638,0
40,874,234,-170,-21,36,-107,79,533,0
41,757,217,-163,35,18,-80,195,444,0
42,635,193,-173,47,-2,-39,314,367,0
43,566,214,-169,19,-28,7,371,301,0
44,518,277,-147,-33,-47,48,394,255,0
45,494,408,-155,-82,-37,76,340,227,0
46,519,495,-145,-107,-24,93,268,210,0
47,521,530,-151,-130,-28,109,241,202,0
48,535,601,-130,-147,-37,128,184,201,0
49,559,700,-109,-146,-41,147,97,203,0
50,584,780,-97,-131,-43,160,20,205,0
51,600,847,-103,-118,-45,166,43,205,0
52,586,939,-94,-107,-44,167,110,205,0
53,581,1009,-91,-92,-33,161,167,201,0
54,580,1017,-97,-76,-33,145,174,194,0
55,596,1025,-90,-59,-40,135,189,186,0
56,605,1035,-83,-42,-45,127,201,177,0
57,633,999,-76,-38,-49,113,185,167,0
58,623,948,-65,-44,-51,103,136,158,0
59,623,902,-61,-48,-47,92,97,149,0
62,663,844,-63,-45,-59,78,75,130,0
63,685,808,-77,-45,-59,67,62,124,0
64,708,762,-80,-48,-58,57,43,118,0
65,727,729,-94,-51,-58,51,82,112,0
1,946,1924,-1764,355,-71,-133,1776,253,0
2,1278,2308,-1950,377,-151,-234,2280,296,0
3,1980,2392,-2395,454,-156,-386,2921,360,0
4,2925,2042,-2593,511,-245,-512,3410,440,0
5,3702,1690,-2352,536,-444,-525,3700,526,0
6,4158,1527,-1708,464,-678,-431,3747,606,0
7,3998,1370,-1056,341,-789,-349,3356,670,0
8,3572,1170,-590,253,-788,-313,2804,713,0
9,3049,988,-267,237,-740,-277,2216,735,0
10,2464,814,-75,291,-667,-236,1596,741,0
11,1929,564,83,368,-564,-201,1011,733,0
12,1541,331,159,430,-458,-151,584,716,0
13,1274,197,140,459,-365,-37,296,690,0
14,1123,141,56,427,-322,87,133,660,0
15,1001,202,56,373,-311,178,22,631,0
16,780,221,50,342,-296,227,187,606,0
17,635,186,101,314,-301,247,330,585,0
18,447,65,230,273,-329,255,493,567,0
19,431,0,304,244,-334,283,472,554,0
20,425,48,401,244,-338,347,413,551,0
21,426,199,461,294,-284,423,341,559,0
22,667,335,398,359,-197,491,154,575,0
23,900,336,436,347,-200,526,54,592,0
24,1211,452,575,314,-226,546,414,607,0
25,1423,520,783,345,-203,528,705,618,0
26,1157,539,765,491,-33,491,488,633,0
27,1706,447,598,618,244,572,862,682,0
28,1958,808,473,592,358,750,1170,749,0
29,2091,1399,208,550,667,903,1524,849,0
30,3080,1867,541,645,637,774,2642,918,0
31,2442,2092,451,939,601,534,2247,981,0
32,2986,1189,509,1104,596,-16,2254,1036,0
33,3555,898,244,1064,527,-426,2674,1081,0
34,3788,767,-173,906,693,-602,2868,1122,0
35,4233,756,-219,787,829,-775,3305,1174,0
36,4288,530,-293,744,787,-865,3330,1216,0
37,3647,33,-415,603,526,-796,2670,1198,0
38,2903,-2,-411,355,265,-629,1931,1112,0
39,2390,79,-299,229,98,-470,1409,996,0
40,1774,57,-175,162,3,-402,783,883,0
41,1458,105,-179,121,6,-368,472,784,0
42,1186,62,-164,107,28,-299,198,691,0
43,878,1,-162,85,12,-211,107,598,0
44,688,13,-110,51,-8,-134,303,507,0
45,617,103,-74,33,-21,-64,370,420,0
46,532,170,-49,32,-23,-4,439,344,0
47,483,245,-38,31,-8,54,457,287,0
48,468,344,-55,24,19,110,416,253,0
49,473,380,-86,5,45,142,387,232,0
50,447,417,-144,-24,75,159,371,221,0
51,444,473,-142,-49,84,174,335,216,0
52,463,532,-163,-32,106,189,276,217,0
53,564,605,-217,6,148,224,144,227,0
54,702,687,-282,51,180,267,21,247,0
55,835,730,-340,89,193,280,160,267,0
56,949,713,-398,113,187,269,251,283,0
57,1040,651,-456,98,153,251,308,288,0
58,1078,610,-441,25,92,234,314,281,0
59,1063,627,-401,-68,43,210,297,269,0
60,1061,694,-331,-132,25,190,310,262,0
63,977,784,-257,-70,20,92,278,214,0
64,942,702,-271,-35,15,55,205,184,0
65,924,619,-270,-26,4,30,252,155,0
1,1135,2008,-2382,603,-61,-198,2315,406,0
2,2147,2331,-3143,465,-187,-320,3463,443,0
3,3490,2294,-3449,512,-439,-510,4416,523,0
4,4944,1732,-2901,530,-703,-609,4988,633,0
5,5800,1805,-1907,558,-903,-543,5366,744,0
6,5348,1548,-1078,577,-946,-406,4670,831,0
7,4481,1305,-618,544,-900,-298,3707,884,0
8,3515,1299,-247,621,-808,-154,2755,913,0
9,2640,1035,-70,669,-655,-47,1836,918,0
10,2064,735,-10,652,-518,0,1190,900,0
11,1690,587,41,705,-409,102,789,884,0
12,1425,412,-78,683,-328,219,485,865,0
13,1278,507,-68,595,-244,289,376,833,0
14,1050,544,67,622,-90,360,184,811,0
15,891,409,-131,603,112,376,10,793,0
18,936,69,19,458,167,442,61,738,0
19,1161,217,192,312,171,581,196,726,0
20,1452,680,511,199,241,706,682,735,0
21,1740,1093,749,250,320,713,1187,752,0
22,1951,1335,639,494,490,620,1448,788,0
23,2216,1015,167,739,743,561,1443,868,0
24,2586,858,-553,435,928,511,1780,923,0
25,2856,1683,-466,78,843,516,2347,937,0
26,2774,1997,-223,136,754,349,2425,917,0
27,2940,1652,-341,322,771,143,2389,903,0
28,3088,1504,-354,414,760,42,2452,896,0
29,3391,1427,-564,478,828,-111,2722,909,0
30,3818,1274,-581,501,805,-324,3066,927,0
31,3926,1160,-597,561,673,-396,3137,934,0
32,4249,1084,-525,649,505,-491,3416,938,0
33,4191,767,-266,741,267,-671,3268,957,0
34,3788,372,-95,755,99,-835,2807,992,0
35,3137,31,-266,635,152,-923,2148,1019,0
36,2647,-246,-492,420,252,-887,1703,1018,0
37,1881,-405,-507,177,192,-656,989,955,0
38,1243,-377,-429,15,91,-384,367,843,0
39,915,-154,-323,-34,24,-222,17,719,0
40,661,52,-248,-8,-14,-158,292,607,0
41,510,162,-173,33,-29,-119,437,511,0
42,407,196,-133,51,-35,-81,529,429,0
43,353,207,-85,49,-40,-46,582,358,0
44,293,193,-59,23,-34,-8,644,295,0
45,230,206,-57,-25,-11,39,686,245,0
46,234,273,-74,-65,26,90,632,219,0
47,281,358,-78,-88,52,139,538,209,0
48,338,473,-99,-96,68,187,410,211,0
49,396,560,-127,-90,85,221,302,220,0
50,481,643,-178,-76,106,244,177,231,0
51,582,679,-239,-59,119,260,74,243,0
52,655,695,-304,-48,115,261,2,252,0
53,749,744,-361,-25,108,269,115,259,0
54,851,767,-409,3,93,272,216,265,0
55,933,741,-437,20,66,268,269,267,0
56,960,727,-447,6,54,260,284,266,0
57,1001,740,-466,-34,56,236,329,262,0
58,1033,971,-399,12,47,228,472,256,0
59,994,945,-391,161,19,221,426,260,0
60,982,688,-508,122,1,163,302,248,0
61,940,568,-481,-60,-7,94,198,221,0
62,878,572,-374,-197,-18,58,112,218,0
63,816,579,-293,-267,-12,44,42,228,0
64,802,619,-238,-269,1,40,40,236,0
65,876,624,-184,-215,-11,46,168,233,0
1,972,2059,-1223,351,75,-69,1584,213,0
2,1454,2352,-1768,417,-27,-210,2282,264,0
3,2054,2596,-1957,369,-237,-368,2845,325,0
4,2432,2941,-1937,583,-317,-484,3279,424,0
5,3389,2213,-2090,913,-286,-634,3555,569,0
6,4078,1264,-2059,1057,-481,-539,3739,711,0
7,4201,1045,-1559,941,-702,-287,3601,810,0
8,3912,1149,-1076,792,-749,-99,3216,867,0
9,3320,1217,-776,669,-720,12,2620,890,0
10,2678,1272,-485,642,-677,86,2004,899,0
11,2089,1076,-262,678,-553,139,1364,896,0
12,1657,860,-153,708,-418,201,873,886,0
13,1437,693,-193,715,-270,284,607,872,0
14,1316,634,-242,652,-141,351,480,848,0
15,1160,636,-188,614,-1,399,336,825,0
16,981,462,-272,599,155,429,117,810,0
17,983,282,-345,503,220,466,79,792,0
18,1026,422,-212,399,168,506,129,766,0
19,1199,388,28,355,126,516,260,741,0
20,1511,283,391,299,28,534,586,715,0
21,1624,569,652,209,51,716,840,721,0
22,2007,1034,788,213,227,837,1391,755,0
23,2469,1328,728,416,535,746,1896,806,0
24,2813,1496,496,689,858,558,2224,891,0
25,3040,820,-234,691,1124,429,2157,990,0
26,3768,1451,-558,387,1028,424,3076,1027,0
27,3414,1981,-461,338,711,322,2973,992,0
28,3726,1555,-270,421,798,-194,3046,978,0
29,3908,1951,-590,671,867,-312,3407,1010,0
30,4592,1376,-940,736,1207,-455,3885,1105,0
31,5099,848,-1786,499,1024,-668,4468,1148,0
34,3498,800,-230,823,56,-565,2595,1060,0
35,3162,214,-94,676,-53,-724,2170,1046,0
36,2535,-62,-233,423,-47,-799,1546,1017,0
37,1779,-306,-278,135,-30,-656,826,948,0
38,1201,-273,-202,-93,15,-452,248,850,0
39,942,-94,-141,-173,46,-268,42,745,0
40,786,-24,-73,-174,27,-150,210,642,0
41,624,80,-71,-131,-2,-98,366,546,0
42,569,62,-55,-86,-52,-46,424,459,0
43,549,43,-31,-119,-95,15,448,397,0
44,526,92,29,-173,-105,72,465,361,0
45,503,160,54,-185,-75,121,469,335,0
46,561,200,27,-184,-41,185,403,321,0
47,649,284,8,-186,-35,249,291,319,0
48,724,414,-6,-175,-39,302,165,325,0
49,827,543,0,-160,-55,345,10,337,0
50,896,700,27,-131,-74,368,137,349,0
51,948,842,49,-63,-71,373,268,356,0
52,998,893,20,18,-41,366,339,358,0
53,1078,878,-33,85,-6,350,390,358,0
54,1142,862,-80,114,16,352,433,361,0
55,1175,998,-84,145,38,343,543,363,0
56,1137,1174,-71,281,73,297,635,373,0
57,1134,1106,-387,352,75,215,630,382,0
58,1079,874,-547,170,62,112,492,348,0
59,968,790,-424,-48,50,84,319,300,0
60,937,833,-288,-77,32,43,286,259,0
61,861,715,-322,-89,20,18,164,225,0
62,829,678,-295,-98,1,15,110,200,0
63,811,697,-289,-116,-33,7,107,184,0
64,735,648,-233,-127,-47,18,7,174,0
65,760,650,-183,-119,-59,14,180,166,0
1,1134,1792,-1340,323,-165,-256,1508,280,0
2,1285,2242,-1868,355,-256,-334,2188,334,0
3,1825,2552,-2415,263,-366,-484,2959,399,0
4,2456,2446,-2647,267,-454,-624,3361,482,0
5,3188,2004,-2778,342,-515,-707,3679,573,0
6,3688,1682,-2654,385,-626,-690,3845,660,0
7,3987,1495,-2224,371,-720,-646,3803,735,0
8,3730,1244,-1600,423,-746,-600,3245,797,0
9,3044,977,-1055,499,-694,-521,2366,838,0
10,2381,758,-706,548,-610,-411,1596,854,0
11,1772,552,-511,577,-523,-298,925,849,0
12,1328,414,-361,608,-407,-198,437,831,0
13,1013,245,-387,670,-280,-87,111,811,0
14,948,139,-506,694,-168,12,83,791,0
15,816,222,-531,690,-145,98,1,775,0
16,598,344,-390,743,-16,162,207,772,0
17,630,250,-681,780,117,202,39,780,0
18,691,318,-775,690,75,268,85,773,0
19,672,581,-462,746,50,312,1,780,0
20,730,311,-456,790,152,294,84,795,0
21,874,345,-453,610,191,430,43,790,0
22,1233,781,-217,426,215,571,475,781,0
23,1486,1272,119,446,276,541,959,775,0
24,1629,1319,289,593,421,429,1115,789,0
25,1948,1275,73,662,622,282,1329,821,0
26,2257,1162,-320,748,819,134,1558,880,0
27,2321,836,-846,576,899,110,1607,919,0
28,3367,1771,-1039,143,975,171,2943,935,0
29,2846,2183,-1600,194,859,14,2927,924,0
30,3543,1908,-1388,453,800,-230,3256,928,0
31,3100,1671,-1445,523,916,-538,2806,979,0
32,3963,1060,-1860,497,978,-702,3504,1044,0
33,4365,1264,-1800,348,781,-750,3887,1062,0
34,4729,1362,-1056,552,726,-853,4033,1099,0
35,4698,571,-384,835,420,-934,3748,1144,0
36,3808,-277,-275,724,158,-948,2827,1155,0
37,2782,-584,-415,367,151,-816,1872,1106,0
38,1971,-342,-366,62,122,-540,1033,996,0
39,1561,-93,-186,-77,61,-354,574,870,0
40,1287,5,-118,-131,23,-296,292,761,0
41,1046,44,-111,-138,-4,-244,52,664,0
42,800,68,-47,-121,-42,-171,195,574,0
43,643,119,5,-97,-55,-110,346,490,0
44,555,149,44,-57,-49,-58,423,411,0
45,508,184,52,-11,-17,-11,457,333,0
46,501,217,26,19,15,40,453,276,0
47,526,245,-32,20,44,86,418,240,0
48,563,290,-103,-7,69,126,358,221,0
49,616,342,-149,-40,80,163,279,213,0
50,666,412,-176,-65,79,195,197,215,0
51,717,496,-199,-73,83,228,105,222,0
52,773,551,-232,-71,89,254,22,233,0
53,862,598,-248,-69,80,275,78,245,0
54,935,674,-242,-65,61,295,177,258,0
55,977,730,-244,-53,48,307,243,269,0
56,1038,755,-276,-46,51,307,312,278,0
57,1123,760,-283,-54,33,307,385,285,0
58,1154,790,-248,-80,1,301,420,290,0
59,1127,839,-209,-94,-16,288,420,292,0
60,1100,878,-187,-89,-10,261,419,289,0
61,1100,883,-197,-68,-1,227,424,278,0
62,1097,853,-218,-56,-12,190,406,262,0
63,1068,807,-209,-73,-38,153,354,244,0
64,1018,749,-182,-116,-61,118,276,230,0
65,971,704,-145,-169,-75,86,323,225,0
1,505,2516,-1255,417,-125,-183,1856,283,0
2,1372,3100,-2039,347,-105,-358,2955,328,0
3,1932,3089,-2214,335,-349,-585,3263,414,0
4,2656,2684,-2417,377,-354,-743,3483,512,0
5,3874,2230,-2725,387,-439,-802,4235,608,0
6,4563,1844,-2422,468,-589,-799,4485,706,0
7,4455,1374,-1896,501,-676,-745,4032,789,0
8,3845,1162,-1314,617,-680,-627,3226,853,0
9,3046,1054,-758,822,-635,-510,2311,914,0
10,2276,673,-386,1019,-525,-395,1404,973,0
11,1598,134,-347,959,-397,-204,640,990,0
12,1153,-7,-537,718,-254,5,271,944,0
13,1131,170,-702,603,-110,191,341,884,0
14,1241,213,-871,645,33,302,531,849,0
15,1439,180,-1059,530,57,435,795,817,0
16,1197,489,-736,327,-97,575,487,787,0
17,983,789,-188,320,-213,527,274,760,0
18,819,829,254,539,-206,392,192,747,0
19,718,546,465,688,-108,304,14,749,0
20,597,340,431,671,29,277,188,745,0
21,689,548,342,722,132,378,55,761,0
22,928,685,189,632,271,400,168,767,0
23,1032,801,333,548,305,337,348,756,0
24,1147,874,353,527,434,239,484,749,0
25,1695,1221,175,623,707,223,1096,793,0
26,2162,843,-304,719,828,54,1340,854,0
27,2227,342,-886,618,811,-102,1421,888,0
28,2931,898,-939,481,933,-54,2206,920,0
29,2897,398,-1454,457,943,-196,2265,949,0
30,3533,489,-1698,353,778,-308,2950,941,0
31,2850,532,-1648,369,730,-371,2334,932,0
32,3749,358,-1588,467,695,-607,3087,952,0
33,4484,395,-1365,552,451,-746,3703,968,0
34,4362,256,-1166,607,424,-831,3522,997,0
35,4635,38,-668,769,154,-911,3683,1038,0
36,4362,-569,-114,936,-220,-1063,3400,1117,0
37,2932,-1387,-121,750,-327,-989,2245,1150,0
38,1922,-1108,-532,273,-3,-723,1281,1074,0
39,1901,-627,-498,-66,115,-575,1062,977,0
40,1566,-461,-245,-239,89,-523,650,898,0
41,1172,-267,-185,-311,44,-422,216,823,0
42,953,-114,-163,-321,3,-251,26,740,0
43,831,57,-96,-288,-26,-113,161,654,0
44,686,216,-42,-193,-27,-44,279,563,0
45,579,249,-11,-76,-8,-15,369,466,0
46,531,222,-14,9,16,18,424,377,0
49,625,191,-208,12,117,149,314,265,0
50,719,226,-266,-12,130,198,200,259,0
51,868,294,-330,-26,145,247,25,265,0
52,1043,377,-372,-33,141,287,169,276,0
