Count,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Ema_Acc,Ema_Gyr,Activity
1,1462,895,-727,-546,-490,33,861,588,2
2,1476,1277,-553,-551,-543,-112,1028,626,2
3,1459,1528,-437,-505,-590,-282,1157,666,2
4,1509,1619,-194,-520,-625,-471,1221,721,2
5,1502,1940,214,-418,-645,-667,1462,780,2
6,1615,2191,180,-177,-592,-800,1727,826,2
7,1700,1930,82,-140,-562,-875,1573,870,2
8,1556,1613,-52,-286,-559,-878,1241,912,2
9,1256,1078,-23,-321,-535,-867,655,943,2
10,956,480,57,-299,-480,-816,71,953,2
11,644,10,179,-291,-482,-680,331,939,2
12,496,-221,332,-326,-412,-511,363,897,2
13,312,-426,518,-378,-416,-343,260,849,2
14,43,-600,726,-415,-423,-188,57,803,2
15,-191,-890,899,-330,-358,-58,279,741,2
16,-545,-1074,1233,-229,-269,73,723,664,2
17,-698,-1051,1430,-321,-173,268,907,622,2
18,-716,-825,1980,-541,76,482,1261,643,2
21,481,495,1611,-334,839,392,752,768,2
22,1113,819,941,-373,982,213,671,828,2
23,-1074,1547,-1351,-462,743,150,1317,840,2
24,3359,1060,-1650,-339,229,226,2889,765,2
25,1951,458,-3049,-199,663,525,2648,786,2
26,-797,2541,-2441,-198,308,194,2612,711,2
27,-609,354,-1835,237,264,-240,965,654,2
28,209,-1375,-976,299,269,233,699,616,2
29,-283,-947,-1020,-167,22,166,420,540,2
30,-308,934,-1480,-71,51,-147,776,466,2
31,-296,-37,-1163,146,101,-6,200,408,2
32,-230,-165,-939,-29,4,-12,19,333,2
33,-305,288,-936,-16,47,-6,25,276,2
34,-212,107,-888,41,41,-21,80,233,2
35,-186,-24,-648,9,28,-13,325,193,2
36,-174,94,-511,-19,49,-8,452,165,2
37,-159,39,-465,-56,72,-22,507,150,2
38,-101,63,-490,-96,75,-33,495,145,2
39,-71,29,-520,-87,61,-14,474,138,2
40,-17,40,-553,-141,64,-7,445,141,2
41,2,191,-598,-208,108,-2,372,159,2
42,73,243,-601,-272,157,-11,347,190,2
43,109,394,-574,-257,192,-8,295,216,2
44,175,384,-736,-206,279,30,151,242,2
45,326,405,-665,-236,281,52,155,268,2
46,258,388,-738,-316,324,80,127,306,2
47,610,476,-531,-380,364,82,61,351,2
48,582,784,-511,-390,291,159,102,383,2
49,760,874,-495,-281,340,188,259,402,2
50,779,880,-501,-230,323,194,277,410,2
51,848,830,-569,-185,314,197,315,410,2
52,835,752,-552,-166,228,212,251,399,2
53,953,771,-483,-130,177,187,317,376,2
54,1166,738,-379,-99,124,160,431,346,2
55,1147,630,-350,-88,45,151,354,313,2
56,1192,599,-374,-66,54,179,385,290,2
57,1357,641,-429,-18,66,231,560,280,2
58,1398,633,-472,-33,3,244,605,273,2
59,1180,698,-301,-168,-111,211,403,276,2
60,959,933,-248,-230,-76,181,360,281,2
61,1016,980,-160,-152,1,182,420,272,2
62,951,859,-229,-108,11,132,301,252,2
63,940,706,-320,-155,19,85,218,237,2
64,1003,655,-279,-229,-6,58,229,237,2
65,989,698,-137,-264,-64,20,306,244,2
1,1037,1625,194,-319,-259,-620,937,644,2
2,1223,1610,263,-329,-252,-714,1038,680,2
3,1177,1609,386,-371,-271,-776,1030,724,2
4,1099,1493,326,-385,-205,-765,882,755,2
5,996,1210,405,-441,-135,-724,618,776,2
6,637,935,445,-421,-96,-669,215,780,2
7,372,477,302,-381,-46,-588,323,764,2
8,263,231,279,-453,-54,-499,552,746,2
9,110,142,263,-455,-124,-453,681,728,2
10,-37,7,244,-433,-155,-399,753,704,2
11,-109,-147,370,-399,-170,-296,587,668,2
12,-243,-322,551,-312,-168,-183,317,614,2
13,-339,-527,831,-278,-194,-45,40,559,2
14,-484,-666,1110,-348,-220,99,381,532,2
15,-636,-675,1476,-447,-108,169,743,523,2
16,-618,-751,1732,-443,111,295,986,527,2
17,-326,-746,1799,-345,346,450,974,554,2
18,9,-713,2007,-288,606,543,1129,616,2
19,568,-523,1854,-115,885,547,1008,702,2
20,2349,-589,210,-197,881,492,1430,767,2
21,4016,-488,-2662,-497,621,548,3842,806,2
22,3625,2564,-3128,-98,915,483,4431,853,2
23,188,3202,-2988,-214,429,456,3383,814,2
24,-1300,1845,-2283,229,117,-249,2210,723,2
25,-177,-1047,-1244,548,418,7,635,716,2
26,-13,-1776,-537,-79,181,534,855,686,2
27,-8,724,-1554,-118,203,-56,714,597,2
28,-553,1188,-1453,-40,-63,-208,956,522,2
29,-238,-121,-1054,269,182,29,87,482,2
30,-294,-402,-880,-4,24,32,11,394,2
31,-240,227,-1051,-45,57,13,101,330,2
32,-300,195,-904,9,23,0,27,268,2
33,-301,84,-794,4,37,-9,146,222,2
34,-263,89,-846,0,50,-2,109,188,2
35,-198,110,-811,-20,44,0,157,160,2
36,-157,165,-667,-44,37,0,295,139,2
37,-160,251,-603,-81,44,-18,327,130,2
38,-156,307,-600,-97,84,-42,308,131,2
39,-174,308,-598,-135,130,-61,305,144,2
40,-60,263,-644,-179,175,-50,301,166,2
41,19,319,-592,-239,195,-45,327,195,2
42,81,338,-490,-277,193,-47,399,224,2
43,131,351,-428,-266,217,-46,431,248,2
44,216,433,-466,-133,276,-9,328,260,2
45,303,313,-478,-60,296,14,353,268,2
46,400,289,-531,-30,348,42,275,284,2
47,555,234,-680,-89,370,77,91,305,2
48,640,377,-746,-194,328,80,52,322,2
49,804,515,-745,-208,327,70,211,336,2
50,883,651,-648,-209,277,69,274,339,2
51,862,632,-689,-191,244,70,271,335,2
52,952,693,-636,-178,243,78,338,330,2
53,921,677,-592,-138,239,110,287,323,2
54,988,619,-595,-87,227,124,308,313,2
55,1125,602,-500,-59,181,117,370,295,2
56,1136,546,-385,-49,149,115,317,275,2
57,1176,539,-395,-45,180,132,352,265,2
58,1274,508,-375,-55,170,143,421,257,2
59,1136,503,-414,-50,133,157,309,248,2
62,1192,526,-163,-134,-20,112,313,212,2
63,982,496,-45,-212,-40,76,101,215,2
64,929,516,-98,-226,-7,71,67,219,2
65,1040,547,-67,-171,0,89,237,214,2
1,955,1479,488,-243,-209,-728,826,688,2
2,867,1471,474,-257,-149,-742,772,710,2
3,775,1237,405,-312,-114,-741,514,730,2
4,583,896,358,-333,-83,-684,127,737,2
7,63,-118,329,-312,-39,-489,644,684,2
8,-49,-268,410,-282,-101,-440,507,654,2
9,-240,-441,543,-274,-116,-331,260,612,2
10,-417,-607,715,-298,-129,-206,26,566,2
11,-503,-742,914,-377,-130,-97,280,535,2
12,-692,-855,1074,-394,-69,-14,537,508,2
13,-633,-1018,1247,-370,63,84,729,483,2
14,-515,-1016,1309,-303,224,264,735,478,2
15,-261,-703,1271,-300,403,347,475,505,2
16,81,-365,1054,-184,536,378,118,540,2
17,509,-364,602,-25,638,393,131,581,2
18,1515,-549,-761,-277,665,426,782,632,2
19,2482,323,-1343,-616,578,474,1840,699,2
20,2277,2234,-2315,-209,597,557,2941,728,2
21,-684,2669,-2659,-201,168,390,2829,676,2
22,-1267,1735,-1780,231,158,-257,1789,616,2
23,-45,-1080,-1189,512,342,-81,606,617,2
24,-116,-1521,-559,-61,114,434,624,584,2
25,-399,829,-1552,-205,95,-57,804,514,2
26,-704,1032,-1208,49,13,-75,737,429,2
27,-283,-274,-874,196,56,-17,41,384,2
28,-461,-70,-809,-46,0,-1,66,316,2
29,-431,292,-889,-10,32,6,30,260,2
30,-366,160,-826,30,18,-20,82,216,2
31,-388,20,-686,-7,6,-13,211,175,2
32,-363,129,-682,-36,22,0,216,149,2
33,-370,177,-613,-66,43,-6,262,135,2
34,-347,183,-577,-109,72,-22,302,134,2
35,-281,172,-573,-149,89,-23,339,142,2
36,-289,242,-587,-179,110,-16,302,156,2
37,-276,242,-535,-206,154,-7,351,176,2
38,-248,246,-490,-226,211,0,398,202,2
39,-117,292,-470,-186,268,13,434,227,2
40,16,309,-495,-130,298,38,416,247,2
41,110,363,-505,-100,297,56,368,261,2
42,174,373,-518,-83,314,59,338,275,2
43,321,368,-512,-104,338,48,292,291,2
44,395,408,-519,-119,324,51,230,302,2
45,482,407,-574,-109,339,68,147,314,2
46,666,445,-546,-116,341,80,30,325,2
47,677,488,-538,-132,300,94,7,328,2
48,831,516,-561,-128,300,85,127,329,2
49,884,545,-453,-135,236,83,133,320,2
50,866,507,-473,-109,254,85,109,314,2
51,1057,426,-485,-118,264,92,238,312,2
52,1089,427,-376,-167,196,94,228,304,2
53,1175,473,-382,-144,221,120,322,301,2
54,1393,556,-285,-100,207,161,526,297,2
55,1349,559,-272,-73,162,176,485,287,2
56,1448,527,-368,-101,185,194,584,287,2
57,1460,656,-300,-160,126,194,628,286,2
58,1241,752,-297,-169,85,175,481,280,2
59,1265,758,-304,-160,95,163,505,273,2
60,1196,794,-234,-190,25,124,454,264,2
61,1101,790,-121,-227,-40,60,360,259,2
62,965,724,-53,-233,-77,6,207,256,2
63,990,610,-46,-222,-64,-10,163,251,2
64,1006,550,-8,-232,-79,-7,146,250,2
65,968,565,35,-241,-101,-15,266,252,2
1,43,-77,912,-262,606,290,83,524,2
2,410,185,622,-189,644,234,232,561,2
3,1253,-188,-174,-108,722,263,278,604,2
4,2718,-387,-1246,-286,633,519,2014,657,2
5,2350,1221,-2642,-129,802,351,2740,702,2
6,-1513,2991,-4105,-460,404,250,4299,694,2
7,-709,847,-1278,285,43,-370,689,649,2
8,274,-1647,-771,472,416,178,839,649,2
9,-244,-1505,-1730,-272,100,209,1305,591,2
10,-201,1069,-1605,-261,19,-232,938,542,2
11,-587,412,-1320,143,83,-78,502,470,2
12,-227,-678,-976,198,62,54,209,419,2
13,-472,-86,-944,-114,13,-8,58,358,2
14,-378,113,-982,6,47,8,58,296,2
15,-378,-107,-803,47,21,-12,106,247,2
16,-352,-211,-700,0,19,8,188,202,2
17,-287,-113,-635,-32,39,32,294,173,2
18,-252,-92,-506,-48,46,34,427,153,2
19,-251,-121,-464,-59,60,37,458,141,2
20,-208,-71,-520,-76,97,41,435,138,2
21,-149,-84,-511,-117,129,44,461,146,2
22,-110,-51,-497,-142,164,53,488,161,2
23,18,-30,-535,-162,212,78,463,184,2
24,103,32,-535,-225,214,87,454,212,2
25,180,114,-509,-253,246,109,448,243,2
26,321,198,-433,-289,289,135,425,280,2
27,450,340,-335,-268,352,138,344,317,2
28,626,462,-319,-251,430,160,159,358,2
29,822,547,-369,-212,427,205,54,390,2
30,909,606,-418,-140,367,227,169,402,2
31,1053,583,-397,-123,325,205,267,402,2
32,1107,620,-352,-137,293,193,316,397,2
33,1206,652,-365,-119,297,199,418,393,2
34,1302,673,-335,-95,272,192,503,383,2
35,1304,652,-308,-74,228,176,490,366,2
36,1368,654,-272,-68,224,165,540,350,2
37,1422,677,-240,-57,216,152,593,334,2
38,1347,616,-253,-33,206,141,502,317,2
39,1345,553,-297,-29,203,128,484,302,2
40,1368,594,-255,-2,191,129,513,287,2
41,1261,446,-331,-26,159,92,377,267,2
42,1263,492,-227,-76,116,72,374,245,2
43,1188,581,-221,-45,108,74,340,223,2
44,1175,504,-250,6,118,70,302,206,2
45,1172,484,-230,12,70,55,288,182,2
46,1137,506,-177,-2,26,18,257,152,2
47,1088,409,-147,-54,-26,-47,171,137,2
48,1027,317,-110,-120,-66,-86,80,141,2
49,953,313,-34,-156,-66,-85,3,151,2
50,930,323,-11,-155,-37,-62,15,155,2
51,922,384,8,-125,-15,-35,1,150,2
52,976,474,75,-59,-6,-30,87,133,2
53,978,397,89,13,-24,-45,59,117,2
56,926,211,162,-52,-30,-49,36,96,2
57,913,234,158,-66,-8,-32,44,92,2
58,922,290,153,-50,-10,-22,21,84,2
59,920,341,146,-3,-8,-14,8,70,2
60,928,320,116,37,-7,-9,11,64,2
61,941,295,84,30,-7,-9,10,57,2
62,963,305,68,0,-8,-9,12,48,2
63,976,343,68,-15,-12,-14,36,43,2
64,977,333,37,-19,-15,-15,32,40,2
65,975,340,28,-28,-22,-16,31,40,2
1,1011,1242,-525,-120,-601,-328,685,518,2
2,776,1518,-462,-118,-618,-391,766,562,2
3,647,1901,-398,-40,-616,-472,1047,605,2
4,487,1695,-280,18,-618,-527,785,646,2
5,316,1648,-65,44,-567,-586,679,680,2
6,195,1393,-1,118,-507,-626,406,707,2
7,98,995,43,36,-487,-640,0,726,2
8,22,653,209,-24,-431,-619,314,732,2
9,-13,443,349,-30,-360,-575,435,721,2
10,-5,169,440,-65,-325,-512,528,699,2
11,-82,-82,559,-136,-341,-475,429,679,2
12,-212,-231,610,-183,-388,-444,314,666,2
13,-357,-325,609,-236,-349,-363,222,644,2
14,-429,-390,564,-271,-336,-280,191,618,2
15,-534,-438,584,-286,-333,-189,95,590,2
16,-657,-489,638,-307,-323,-100,38,563,2
17,-758,-539,668,-346,-304,-25,145,542,2
18,-818,-538,729,-400,-271,31,220,531,2
19,-893,-481,775,-415,-243,87,276,522,2
20,-834,-480,814,-394,-184,163,260,510,2
21,-783,-540,862,-362,-102,222,283,495,2
22,-705,-565,942,-305,-24,273,305,478,2
23,-625,-602,1073,-232,91,365,379,471,2
24,-407,-338,1011,-178,259,431,141,483,2
25,-30,-77,800,-122,445,450,195,515,2
26,432,64,312,-61,610,390,463,557,2
27,1413,-164,-477,-171,606,405,500,595,2
28,1947,363,-3355,-225,375,472,2895,605,2
29,1062,642,-3386,80,568,493,2606,635,2
30,-621,1632,-3099,-436,241,375,2557,632,2
31,-1721,2202,-1085,-45,25,-271,1997,561,2
32,-105,-510,-946,732,464,-62,79,622,2
33,-91,-1715,-841,-144,0,317,912,567,2
34,-369,593,-1161,-184,34,-48,354,492,2
35,-774,824,-1034,42,39,-65,532,411,2
38,-263,140,-590,-67,56,-3,339,264,2
39,-219,79,-474,-128,90,-26,471,243,2
40,-180,24,-396,-201,121,-31,564,241,2
41,-69,74,-379,-243,144,-26,607,250,2
42,29,271,-453,-262,149,-10,471,260,2
43,35,314,-445,-266,163,3,454,270,2
44,94,337,-465,-272,206,0,418,284,2
45,130,357,-382,-217,244,32,461,293,2
46,209,446,-506,-105,317,80,293,303,2
47,358,395,-553,-65,351,122,231,317,2
48,415,362,-678,-88,402,160,126,342,2
49,631,437,-734,-121,433,193,62,371,2
50,718,555,-817,-104,415,203,221,392,2
51,904,609,-803,-63,386,214,353,402,2
52,850,562,-813,-79,315,195,303,397,2
53,977,496,-820,-101,302,185,368,391,2
54,1136,484,-727,-149,230,167,432,377,2
55,1108,499,-654,-172,173,160,379,360,2
56,1150,524,-563,-147,147,168,383,341,2
57,1193,516,-503,-133,125,171,393,323,2
58,1192,497,-433,-161,78,157,362,306,2
59,1200,507,-331,-191,41,145,344,293,2
60,1249,531,-218,-207,9,134,374,284,2
61,1226,538,-136,-216,-16,133,345,278,2
62,1163,611,-70,-214,-21,141,315,273,2
63,1138,731,-42,-170,20,152,353,264,2
64,1058,699,-81,-128,32,137,270,249,2
65,1064,645,-129,-121,38,119,317,234,2
1,692,1552,-477,-190,-428,-550,764,596,2
2,572,1479,-518,-160,-435,-576,668,624,2
3,401,1469,-412,-167,-459,-617,577,657,2
4,220,1345,-274,-144,-438,-641,390,683,2
5,69,1139,13,-85,-395,-676,141,704,2
6,0,788,104,-55,-313,-655,205,708,2
7,14,434,78,-109,-264,-635,558,706,2
10,-164,-190,275,-189,-242,-412,627,639,2
11,-270,-275,426,-214,-262,-393,425,615,2
12,-333,-304,466,-206,-272,-330,351,587,2
13,-376,-397,527,-201,-234,-245,240,548,2
14,-451,-452,529,-191,-249,-186,170,511,2
15,-493,-473,505,-181,-273,-104,150,477,2
16,-531,-566,601,-256,-295,-40,18,460,2
17,-689,-581,762,-312,-314,7,180,456,2
18,-730,-567,896,-345,-268,101,287,455,2
19,-658,-679,1023,-353,-194,167,393,451,2
