AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Ema_Acc,Ema_Gyr,isDone,Activity
966,1101,-485,34,-111,-269,542,198,False,1
978,1248,-382,57,-124,-323,630,228,False,1
975,1258,-304,151,-115,-365,620,264,False,1
995,1167,-321,175,-104,-408,566,302,False,1
1022,1203,-256,154,-101,-444,599,338,False,1
1032,1241,-148,187,-95,-487,620,376,False,1
1090,1250,-76,231,-73,-535,660,418,False,1
1113,1260,83,245,-27,-593,683,463,False,1
1178,1314,189,258,59,-661,774,513,False,1
1252,1183,166,304,159,-726,730,570,False,1
1335,761,60,312,206,-759,537,625,False,1
1387,371,-75,248,195,-768,437,666,False,1
1340,-193,-379,208,207,-736,405,691,False,1
1233,-1030,-882,134,228,-602,832,684,False,1
1129,-1660,-716,-23,53,-472,1131,642,False,1
734,-1816,-709,7,65,-330,1083,581,False,1
690,-2316,-1012,74,141,-69,1619,499,False,1
753,-2472,-1329,18,108,193,1905,444,False,1
691,-1818,-1251,93,87,409,1312,440,False,1
686,-1270,-1175,145,61,534,861,463,False,1
964,-751,-4228,-259,-287,684,3401,528,False,1
152,1446,-1486,-221,-14,204,1078,482,False,1
629,678,-1045,277,-187,461,395,499,False,1
624,1155,-866,206,-153,394,572,493,False,1
364,1520,-576,-69,-102,264,665,453,False,1
225,1388,-516,-120,-56,106,497,396,False,1
109,614,-579,-36,-63,46,149,334,False,1
114,170,-644,-36,-77,53,324,287,False,1
229,54,-617,-95,-92,75,339,260,False,1
243,-28,-385,-128,-112,98,543,247,False,1
166,-67,-179,-140,-107,133,746,241,False,1
142,-236,-44,-180,-70,200,721,249,False,1
39,-298,65,-220,-12,303,692,274,False,1
68,-350,60,-248,97,416,638,317,False,1
403,-306,-16,-288,199,574,493,388,False,1
779,288,-192,-352,303,707,147,479,False,1
1294,830,-638,-540,271,713,664,570,False,1
1579,1594,-360,-605,203,650,1272,638,False,1
1473,2268,-323,-190,67,673,1723,651,False,1
1561,1509,-486,-54,148,610,1224,647,False,1
1698,1264,-407,-239,144,572,1155,644,False,1
1651,1362,-275,-414,155,543,1157,655,False,1
1380,1584,-128,-405,165,447,1104,649,False,1
1195,1552,-67,-257,182,305,959,607,False,1
1032,1305,-148,-49,185,151,670,534,False,1
1035,828,-272,73,139,38,353,459,False,1
996,490,-348,30,27,-34,163,378,False,1
956,386,-293,-60,-62,-49,71,322,False,1
932,443,-142,-99,-110,-56,41,289,False,1
916,465,-99,-69,-91,-62,32,257,False,1
937,406,-103,-33,-53,-56,26,222,False,1
967,357,-90,-19,-38,-54,34,191,False,1
950,312,-118,-20,-22,-67,6,167,False,1
937,289,-122,-12,-3,-65,11,147,False,1
933,288,-110,10,1,-52,17,128,False,1
937,305,-100,39,0,-46,9,114,False,1
954,312,-105,64,4,-45,9,107,False,1
961,282,-120,68,5,-50,8,102,False,1
962,247,-132,51,5,-52,1,96,False,1
950,258,-123,32,4,-44,49,88,True,1
793,1749,-252,51,-36,-121,936,160,False,1
987,1858,-174,175,-64,-181,1111,180,False,1
1439,1528,197,200,-48,-481,1108,314,False,1
1543,1484,349,300,-14,-511,1169,369,False,1
1632,1476,441,337,14,-584,1244,430,False,1
1773,1710,703,375,92,-706,1561,505,False,1
2089,1795,888,515,189,-817,1893,600,False,1
2090,1641,1013,556,196,-847,1843,686,False,1
2098,1433,882,584,291,-831,1689,760,False,1
2121,777,723,618,260,-806,1371,818,False,1
1864,-22,420,537,242,-783,910,850,False,1
1465,-1303,377,320,261,-654,996,834,False,1
1186,-2486,9,180,110,-521,1754,780,False,1
809,-2382,-643,155,125,-287,1596,694,False,1
861,-2547,-1158,104,101,-41,1927,585,False,1
933,-2235,-1365,78,28,183,1780,508,False,1
1026,-1758,-1227,82,-33,365,1376,481,False,1
1068,-1263,-1324,58,-20,490,1118,483,False,1
1102,-381,-1572,-18,-69,543,957,496,False,1
1035,514,-1393,-57,-155,468,809,496,False,1
359,1300,-343,-30,-199,425,391,491,False,1
-55,1845,-117,64,-55,297,849,454,False,1
-114,1186,-335,52,87,148,237,399,False,1
50,619,-583,9,71,61,148,338,False,1
187,106,-714,-24,23,46,254,281,False,1
233,-236,-650,-121,-54,79,270,256,False,1
261,-263,-494,-223,-114,115,382,260,False,1
254,-161,-236,-305,-162,158,617,283,False,1
180,-137,-44,-370,-142,197,769,315,False,1
210,-234,-7,-447,-72,255,685,356,False,1
350,-317,-38,-569,1,369,526,420,False,1
544,-148,-27,-702,22,501,435,508,False,1
997,234,-26,-871,30,631,24,622,False,1
1415,1062,373,-1011,-129,685,808,743,False,1
1451,2071,746,-930,-319,579,1636,822,False,1
1295,1708,1418,-575,-484,259,1570,872,False,1
1123,1559,1370,-105,-482,188,1359,803,False,1
1060,1244,1192,290,-396,235,1022,751,False,1
899,1106,871,389,-308,254,670,712,False,1
810,1089,547,289,-138,230,463,648,False,1
833,972,255,104,-12,134,305,553,False,1
863,811,141,-69,27,25,192,458,False,1
