AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Ema_Acc,Ema_Gyr,isDone,Activity
1132,1356,187,-140,32,-373,776,194,False,5
1212,1441,271,-81,75,-412,902,241,False,5
1313,1485,330,-73,99,-471,1009,290,False,5
1357,1492,486,-124,126,-562,1074,349,False,5
1302,1495,672,-148,197,-615,1093,412,False,5
1257,1458,842,-143,291,-629,1101,471,False,5
1175,1381,954,-145,377,-653,1048,530,False,5
1045,1148,981,-176,472,-661,836,590,False,5
828,833,878,-266,554,-654,466,651,False,5
443,195,100,-284,693,-369,505,772,False,5
377,93,-209,-183,577,-253,559,749,False,5
225,50,-459,-154,477,-187,486,706,False,5
119,33,-641,-152,406,-127,347,655,False,5
53,83,-824,-156,305,-87,170,594,False,5
7,159,-924,-123,155,-55,62,516,False,5
-46,217,-910,-72,28,-37,63,430,False,5
-69,235,-845,-43,-80,-28,120,363,False,5
-53,244,-763,-36,-179,-23,197,327,False,5
70,187,-696,-51,-257,-19,275,314,False,5
267,148,-625,-88,-354,-16,304,324,False,5
441,182,-442,-89,-475,-20,349,356,False,5
637,303,-163,-28,-599,-3,276,404,False,5
882,361,160,68,-696,39,33,463,False,5
1212,357,501,130,-768,105,359,528,False,5
1670,478,1104,105,-876,132,1058,600,False,5
1976,701,1790,95,-972,131,1756,677,False,5
2547,724,1972,99,-926,169,2301,731,False,5
3245,777,2538,65,-1026,162,3192,793,False,5
3283,1023,2962,130,-1109,210,3538,861,False,5
2820,998,2670,133,-955,257,3009,888,False,5
2405,831,2186,-131,-746,116,2354,864,False,5
2402,798,1688,-400,-541,-129,2042,828,False,5
2647,714,1189,-348,-434,-190,1988,780,False,5
2814,709,1070,-112,-588,-147,2092,747,False,5
2642,677,1298,52,-820,-150,2020,764,False,5
2421,603,1567,93,-889,-132,1946,792,False,5
1955,468,1341,16,-776,-117,1416,790,False,5
1573,471,1362,-78,-711,-172,1133,779,False,5
1300,538,1258,-41,-745,-233,887,779,False,5
917,289,1457,-7,-738,-269,745,780,False,5
486,51,1701,-7,-510,-170,769,732,False,5
228,103,1735,-25,-318,-172,752,658,False,5
152,-158,1948,-100,-73,-188,960,571,False,5
289,-75,1688,-36,186,-47,714,496,False,5
761,220,1272,-36,336,9,498,464,False,5
1089,385,1191,-84,478,-2,659,468,False,5
1286,251,1346,-60,687,8,878,512,False,5
1785,-56,1748,-24,1023,88,1498,615,False,5
2577,-400,2184,9,1172,191,2401,729,False,5
3202,-642,2851,-91,1290,244,3335,847,False,5
3805,-385,3590,-215,1435,342,4245,975,False,5
4223,9,4406,-137,1420,426,5103,1078,False,5
4203,3,4359,1,1332,446,5055,1143,False,5
4181,184,3986,30,1199,377,4779,1166,False,5
4007,285,2899,80,969,284,3953,1135,False,5
2921,169,1990,-27,675,47,2538,1043,False,5
2005,440,1776,-135,520,-105,1714,944,False,5
1510,409,1658,-156,459,-154,2713,857,True,5
1041,840,1093,192,68,-45,727,154,False,5
988,1071,1672,176,47,-121,1217,167,False,5
813,1103,1798,153,267,-288,1260,218,False,5
1412,614,1782,15,577,-355,1355,309,False,5
1620,698,2066,-130,542,-411,1716,386,False,5
1658,873,2401,-56,742,-396,2045,477,False,5
2070,705,2658,39,925,-350,2441,579,False,5
2339,650,2735,-39,1018,-406,2656,683,False,5
2183,630,2861,-204,1077,-457,2653,783,False,5
2015,702,2690,-280,1163,-367,2433,877,False,5
1713,648,2001,-212,1110,-225,1712,932,False,5
1400,484,1103,-133,966,-139,846,942,False,5
1167,484,509,-45,796,-83,362,914,False,5
1038,359,-210,20,644,-52,118,860,False,5
902,177,-717,-23,470,-63,165,783,False,5
630,156,-777,-35,291,-72,12,686,False,5
373,59,-734,-28,142,-79,174,582,False,5
183,-28,-667,-48,64,-70,307,487,False,5
100,-10,-674,-65,26,-46,318,406,False,5
126,88,-685,-42,-21,9,297,334,False,5
154,189,-723,13,-95,59,237,289,False,5
197,240,-716,53,-189,90,219,274,False,5
316,245,-625,50,-316,77,258,285,False,5
497,206,-458,0,-467,17,293,321,False,5
722,206,-113,-33,-652,-37,240,388,False,5
978,288,376,39,-818,-35,86,474,False,5
1143,369,927,162,-931,40,517,568,False,5
1348,530,1501,232,-983,139,1085,658,False,5
1926,584,1522,202,-905,230,1523,717,False,5
2774,798,2083,101,-1030,240,2559,786,False,5
3389,1029,2581,91,-1172,240,3382,869,False,5
4146,1152,3123,190,-1227,294,4316,950,False,5
3474,926,2956,94,-1153,292,3654,998,False,5
3142,403,2240,-385,-992,49,2879,1012,False,5
2578,708,2330,-694,-873,-287,2546,1039,False,5
2420,831,1337,-353,-493,-223,1886,961,False,5
2666,517,918,26,-407,-54,1866,851,False,5
2565,468,909,90,-624,-70,1761,807,False,5
2309,337,1063,26,-670,-83,1564,781,False,5
1845,335,1302,-55,-649,-95,1282,756,False,5
1426,404,1289,-40,-545,-77,964,715,False,5
1105,370,1140,-26,-468,-70,630,666,False,5
779,293,1186,-84,-478,-115,448,633,False,5
204,381,1525,-78,-457,-121,585,602,False,5
-50,342,1586,-14,-305,-115,623,547,False,5
-164,159,1435,23,-112,-109,453,469,False,5
-49,2,1494,-26,2,-104,494,396,False,5
146,17,1365,-52,133,-57,372,347,False,5
597,129,1248,-77,280,-11,389,336,False,5
998,240,1169,-74,361,11,555,342,False,5
1240,-70,1309,-119,426,0,804,362,False,5
