Count,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Ema_Acc,Ema_Gyr,Activity
1,1338,1160,-410,-343,141,356,817,458,0
2,1094,1174,-377,-248,78,220,648,435,0
3,987,1001,-334,-115,60,105,444,381,0
4,939,735,-370,-19,30,36,248,314,0
5,924,513,-427,10,-1,5,139,254,0
6,897,467,-332,40,-21,14,64,212,0
7,822,484,-266,63,-28,22,9,184,0
8,834,530,-239,78,-9,19,16,163,0
9,879,565,-262,105,6,14,77,152,0
10,927,565,-289,121,-1,-7,123,145,0
11,979,579,-310,136,-24,-45,178,145,0
12,996,585,-320,157,-41,-83,198,152,0
13,1049,562,-338,180,-49,-112,237,165,0
14,1115,532,-402,191,-49,-139,299,180,0
15,1188,517,-459,173,-65,-163,374,193,0
16,1241,509,-429,167,-106,-184,408,209,0
17,1273,495,-428,166,-130,-197,431,224,0
18,1285,538,-422,177,-116,-178,455,235,0
19,1286,537,-410,216,-149,-169,452,250,0
20,1250,489,-462,242,-173,-161,419,267,0
21,1204,440,-483,233,-216,-159,369,285,0
22,1114,367,-495,207,-252,-151,273,300,0
23,986,315,-467,182,-277,-142,135,312,0
24,846,282,-428,170,-281,-125,10,319,0
25,694,209,-405,157,-271,-108,169,322,0
26,597,173,-439,130,-249,-103,239,317,0
27,458,118,-424,91,-221,-90,364,304,0
28,316,92,-406,53,-215,-90,477,291,0
29,229,103,-444,42,-172,-80,489,272,0
30,162,73,-514,46,-117,-61,456,245,0
31,122,75,-561,35,-75,-35,421,214,0
32,102,118,-634,20,-40,-16,347,180,0
33,91,133,-671,5,-10,-11,309,147,0
34,70,126,-682,-17,5,-9,302,121,0
35,74,137,-694,-29,27,0,288,105,0
36,118,149,-717,-29,51,8,258,96,0
37,200,189,-778,-33,88,22,174,96,0
38,209,176,-809,-47,107,32,146,101,0
39,231,196,-729,-67,94,33,210,104,0
40,281,216,-698,-55,125,48,217,112,0
41,299,138,-666,-62,148,56,257,123,0
42,289,52,-563,-127,128,47,365,136,0
43,316,72,-449,-226,127,42,446,161,0
44,415,212,-311,-279,152,52,439,193,0
45,557,459,-290,-214,230,106,222,220,0
46,742,490,-284,-83,328,170,66,252,0
47,855,338,-349,-59,350,176,16,281,0
48,1010,262,-381,-167,323,155,110,303,0
49,1252,420,-315,-262,322,190,357,334,0
50,1341,604,-276,-233,307,243,496,358,0
51,1337,647,-216,-151,280,234,500,365,0
52,1403,572,-249,-113,248,216,535,361,0
53,1393,577,-254,-133,197,197,529,351,0
54,1285,653,-263,-130,173,162,465,334,0
55,1193,666,-275,-99,141,113,393,309,0
56,1154,613,-275,-56,85,54,335,270,0
57,1121,512,-260,-17,23,9,259,222,0
58,1072,451,-211,4,-31,-15,181,184,0
59,1030,418,-152,23,-68,-33,121,163,0
60,1012,373,-115,24,-91,-54,84,152,0
61,992,320,-94,9,-101,-66,46,145,0
62,953,266,-82,-8,-99,-68,7,140,0
63,941,241,-66,-21,-81,-53,26,132,0
64,934,196,-41,-18,-67,-36,44,121,0
65,913,174,-31,-23,-57,-22,110,110,0
32,5
1,543,1244,1735,-4,467,-236,1202,265,5
2,645,1394,2018,-2,570,-292,1536,340,5
3,730,1522,2307,44,619,-355,1858,415,5
4,781,1409,2558,41,675,-422,2023,491,5
5,759,1304,2797,-38,768,-474,2178,573,5
6,750,1264,2933,-62,852,-455,2280,652,5
7,806,996,2740,-18,925,-380,2024,722,5
8,917,614,2270,-16,939,-329,1524,776,5
9,1002,356,1480,-61,906,-278,822,811,5
10,1149,218,606,-8,785,-151,317,808,5
11,1194,-71,-241,52,585,-74,220,765,5
12,895,-52,-558,8,382,-66,55,689,5
13,702,102,-329,-166,232,-83,218,611,5
14,457,159,-388,0,144,-4,379,517,5
15,233,263,-485,32,49,5,401,425,5
16,196,230,-546,43,9,27,375,350,5
17,211,168,-664,13,-41,21,283,290,5
18,216,164,-711,-11,-68,5,239,245,5
19,230,195,-678,-32,-129,-10,257,223,5
20,309,180,-629,-38,-200,-9,276,219,5
21,427,188,-495,-40,-303,-19,319,236,5
22,542,258,-304,-20,-418,-12,327,272,5
23,776,344,28,30,-521,3,150,322,5
24,970,328,467,132,-616,39,125,384,5
25,1264,249,831,56,-571,148,533,425,5
26,1730,543,1569,7,-709,191,1397,487,5
27,2024,763,2350,56,-954,199,2193,585,5
28,2453,837,3085,45,-1017,263,3029,678,5
29,3227,1150,4082,15,-1078,328,4329,767,5
30,3490,1512,5183,43,-1204,387,5428,867,5
31,3051,1046,5125,-180,-1158,171,5055,930,5
32,2442,1018,4759,-447,-1041,-327,4444,980,5
33,2351,801,4046,-285,-868,-473,3747,989,5
34,2396,639,3484,21,-831,-257,3276,965,5
35,2106,501,3128,176,-902,-127,2804,958,5
36,1505,517,2989,127,-936,-203,2386,959,5
37,914,343,2474,45,-799,-268,1659,936,5
38,241,166,2010,-17,-635,-312,1031,890,5
39,-286,-9,1805,36,-584,-316,827,845,5
40,-710,-288,1869,76,-469,-277,1019,785,5
41,-1188,-217,1617,126,-235,-162,1018,691,5
42,-1346,-762,2027,-85,59,-121,1549,584,5
45,291,-267,1675,-82,551,109,720,516,5
46,856,-213,1979,-38,691,198,1166,556,5
47,1608,-379,2542,-74,858,270,2031,625,5
48,2465,-366,3210,-173,979,257,3063,705,5
49,2908,-57,3865,-286,1064,278,3837,791,5
50,3096,184,4565,-321,1107,281,4518,870,5
51,3148,148,5190,-311,1162,350,5071,946,5
52,3291,842,5331,-161,1112,411,5321,996,5
53,3235,1119,5026,-78,1071,254,5080,1017,5
54,2719,1131,4404,-223,1004,-46,4297,1020,5
55,1951,1309,3895,-217,900,-113,3548,1002,5
