Count,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Ema_Acc,Ema_Gyr,Activity
1,1449,369,-1680,252,-106,-113,1249,159,7
2,1887,383,-2004,231,-266,-133,1779,202,7
3,2325,537,-2142,167,-435,-146,2206,259,7
4,2748,507,-2323,62,-521,-179,2633,318,7
5,3484,913,-2439,63,-607,-210,3349,383,7
6,4082,1350,-1969,141,-799,-234,3728,475,7
7,4182,1448,-1624,162,-883,-322,3714,571,7
8,4121,1594,-1314,275,-899,-387,3609,660,7
9,3890,1391,-929,452,-919,-355,3234,744,7
10,3371,986,-793,452,-893,-311,2600,805,7
11,2811,844,-589,387,-841,-249,1993,835,7
12,2286,828,-302,383,-753,-222,1450,843,7
13,1893,750,16,477,-642,-241,1036,841,7
14,1353,566,179,559,-514,-254,477,833,7
15,1100,359,184,554,-362,-231,171,806,7
16,1020,276,82,488,-296,-164,59,763,7
17,807,460,100,492,-197,-176,65,722,7
18,874,488,204,635,-80,-181,21,711,7
19,762,236,385,707,-72,-86,114,711,7
20,701,-50,396,535,26,77,193,677,7
21,698,636,353,609,368,89,8,685,7
22,1017,625,108,876,674,64,198,769,7
23,1244,411,-195,778,899,164,324,855,7
24,1659,1182,-626,526,1240,288,1131,960,7
25,1768,2105,-1199,427,1434,319,1999,1073,7
26,2248,2443,-1774,198,1433,426,2764,1160,7
27,1348,2225,-1799,227,1609,328,2162,1259,7
28,2906,2180,-1265,199,1662,213,2846,1345,7
29,2988,2389,-2557,650,1559,-144,3601,1415,7
30,3327,137,-2805,1024,1021,-459,3353,1435,7
31,2031,-514,-2861,320,669,-372,2546,1314,7
32,2607,470,-1833,31,706,-242,2221,1200,7
33,3263,614,-1198,389,371,-331,2529,1086,7
34,2574,230,-479,740,-99,-367,1628,1035,7
35,2448,38,69,648,-327,-288,1449,984,7
36,2269,10,-4,334,-326,-364,1269,905,7
37,1836,80,203,188,-250,-440,848,832,7
38,1672,232,92,248,-56,-318,690,747,7
39,1653,82,18,282,-38,-186,655,665,7
40,1417,-150,129,167,-186,-176,430,593,7
41,1054,-71,158,58,-246,-185,68,537,7
42,894,51,110,37,-177,-127,97,473,7
43,850,116,54,20,-90,-81,140,403,7
44,841,159,11,0,-63,-71,144,341,7
45,695,183,-2,16,-34,-59,281,287,7
46,673,148,-71,33,26,-42,307,241,7
47,660,112,-154,18,62,-27,313,206,7
48,657,194,-233,32,91,-17,276,184,7
49,691,122,-354,51,132,1,214,176,7
50,684,90,-400,2,134,32,202,168,7
51,674,208,-433,-29,155,55,172,168,7
52,783,284,-529,-19,188,63,13,174,7
53,863,294,-524,-51,142,74,51,173,7
54,774,380,-504,-64,121,65,1,168,7
55,856,428,-574,-2,170,63,115,171,7
56,972,359,-605,19,155,74,199,171,7
57,856,339,-629,-7,119,70,115,164,7
58,898,336,-708,-26,151,64,191,164,7
59,988,333,-713,-54,133,76,263,164,7
60,993,392,-645,-100,75,86,247,161,7
61,929,524,-518,-104,36,71,185,155,7
62,894,534,-490,-43,39,50,150,139,7
63,928,411,-496,-25,29,38,129,122,7
1,1984,299,-2281,384,-110,-24,2037,281,7
2,2283,678,-2377,166,-292,0,2364,292,7
3,3407,832,-2361,166,-481,-99,3227,337,7
4,3927,859,-2204,190,-664,-98,3584,409,7
5,4507,1136,-1718,225,-775,-100,3955,490,7
6,4923,1312,-970,361,-904,-135,4186,588,7
7,4589,1374,-470,458,-962,-95,3813,684,7
8,4228,1361,-200,450,-925,-98,3446,754,7
9,3646,1132,-71,406,-890,-110,2818,800,7
10,2998,933,34,342,-833,-86,2140,820,7
11,2295,872,121,273,-746,-95,1458,816,7
12,1878,839,224,282,-612,-118,1069,790,7
13,1573,921,349,416,-497,-130,855,764,7
14,1401,855,433,643,-408,-101,697,765,7
15,1131,621,253,636,-360,-104,314,759,7
16,1182,570,232,508,-245,-102,332,722,7
17,936,644,435,498,-245,-44,216,689,7
18,871,721,606,454,-163,49,282,648,7
19,532,1033,901,535,-55,88,470,627,7
20,567,1031,1089,726,190,182,603,656,7
21,482,924,973,682,350,255,425,686,7
22,388,1125,289,434,608,309,224,710,7
23,917,1554,302,297,779,492,829,762,7
24,585,1598,66,326,868,556,702,825,7
25,925,1517,-829,216,1164,563,960,922,7
