Count,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Ema_Acc,Ema_Gyr,Activity
1,1781,486,763,63,601,-278,997,420,0
2,-2320,-6,-713,1381,-474,58,1427,628,0
3,2325,-1617,402,1022,199,643,1860,747,0
4,778,-65,1068,816,64,-190,322,765,0
5,1073,-148,406,605,108,6,156,735,0
6,987,83,73,202,70,-108,6,636,0
7,1174,396,84,-20,-73,-246,241,560,0
8,1274,534,443,57,-167,-341,450,524,0
9,1314,566,931,461,-370,-310,706,553,0
10,939,259,814,732,-449,-168,269,617,0
11,661,-25,484,702,-263,-67,180,644,0
12,507,-160,48,351,-17,-41,466,586,0
13,669,-43,-16,-77,135,-27,329,500,0
14,735,147,36,-343,189,-17,249,478,0
15,809,448,157,-389,186,-31,62,469,0
16,860,570,244,-178,114,-28,60,417,0
17,841,432,176,37,-2,-6,38,341,0
18,832,255,123,80,-45,27,121,292,0
19,897,165,97,-12,-32,44,82,244,0
20,1031,191,95,-149,10,59,52,227,0
21,1110,191,54,-253,59,82,127,236,0
22,1391,280,86,-319,79,129,421,260,0
23,1233,435,30,-268,8,172,307,271,0
24,973,440,-67,-164,-26,171,69,264,0
25,825,358,-217,-122,0,169,74,253,0
26,885,304,-253,-136,40,168,30,246,0
27,1030,359,-169,-157,31,175,103,244,0
28,1142,475,-83,-122,19,195,239,241,0
29,1163,582,-39,-37,67,216,301,239,0
30,1107,630,-81,76,151,237,276,249,0
31,1011,594,-151,156,214,237,182,270,0
32,995,564,-172,189,254,203,156,291,0
33,1039,537,-154,219,230,153,179,303,0
34,1057,490,-124,254,140,106,171,304,0
37,1026,386,-8,235,-98,54,96,291,0
38,973,414,36,205,-113,28,58,279,0
39,896,429,84,199,-105,6,3,268,0
40,869,450,143,222,-94,-5,11,263,0
41,912,457,188,263,-81,-10,37,265,0
42,1037,451,224,298,-78,-13,152,274,0
43,1149,463,246,323,-86,-15,262,286,0
44,1186,528,319,352,-100,-20,336,302,0
45,1153,580,469,427,-137,-40,373,331,0
46,1096,492,480,496,-157,-79,293,370,0
47,1099,344,407,458,-140,-130,221,395,0
48,1125,285,331,333,-118,-176,206,395,0
49,1136,291,336,233,-109,-197,219,381,0
50,1117,314,324,173,-103,-197,204,361,0
51,1141,343,342,143,-101,-177,239,338,0
52,1118,334,372,133,-119,-173,224,320,0
53,1030,284,370,117,-135,-175,130,306,0
54,974,250,352,67,-114,-171,65,288,0
55,944,268,338,15,-62,-146,37,262,0
56,917,328,359,-4,-13,-112,37,232,0
57,922,370,378,7,21,-92,62,204,0
58,901,362,369,21,59,-88,38,185,0
59,891,333,334,16,112,-87,8,176,0
60,914,314,294,4,173,-79,10,179,0
61,987,319,254,-4,217,-59,67,188,0
62,1036,361,231,3,240,-38,121,199,0
63,1053,387,229,35,249,-19,144,209,0
64,1083,404,219,77,260,-2,176,222,0
65,1125,417,204,119,274,9,129,237,0
1,1565,-920,-1642,335,10,-120,1447,328,0
2,999,-371,1039,1073,33,142,488,479,0
3,1725,-582,44,961,-120,266,821,584,0
4,1197,-135,-391,95,-491,-30,266,567,0
5,1244,-152,-131,-727,-233,-384,260,625,0
6,943,-78,363,-933,-182,-484,13,713,0
7,797,419,419,-867,-34,-491,6,769,0
8,1054,570,403,-581,-50,-435,264,761,0
9,1013,509,290,-246,-73,-389,170,702,0
10,925,346,175,19,-105,-302,2,625,0
11,781,159,125,168,-141,-203,193,560,0
12,687,38,86,221,-164,-95,306,506,0
13,729,-42,46,192,-180,11,268,457,0
14,849,-65,17,87,-210,108,148,416,0
15,1018,-24,48,-57,-261,185,19,397,0
16,1255,35,137,-215,-328,239,262,410,0
17,1427,118,254,-356,-409,278,454,449,0
18,1542,181,391,-459,-490,302,601,507,0
19,1690,218,544,-563,-577,299,788,577,0
20,1770,267,690,-647,-645,266,918,652,0
21,1705,305,792,-672,-663,217,904,715,0
22,1631,388,838,-636,-616,176,874,752,0
23,1519,436,769,-550,-535,149,757,758,0
24,1362,385,708,-460,-435,102,582,734,0
25,1089,386,626,-375,-340,56,314,689,0
26,927,427,539,-234,-225,44,154,617,0
27,874,406,477,-53,-146,61,75,526,0
28,878,293,429,77,-110,94,20,454,0
29,868,188,391,112,-107,134,29,404,0
30,826,147,363,76,-93,169,85,364,0
31,850,157,348,3,-49,197,68,332,0
32,894,203,344,-69,-6,215,20,310,0
33,956,271,367,-107,18,236,59,300,0
34,995,342,391,-103,34,260,122,296,0
35,1057,400,393,-79,68,288,196,298,0
36,1130,459,386,-68,117,311,279,306,0
37,1162,550,368,-78,185,320,337,320,0
38,1268,564,310,-112,291,313,421,344,0
39,1180,481,223,-322,301,263,293,378,0
40,1158,1291,-186,-762,803,179,744,526,0
41,2724,2871,237,-586,1224,39,2964,692,0
44,981,-2075,-110,143,-521,15,1297,684,0
45,1429,678,478,377,-724,-72,652,711,0
46,942,1047,456,600,-567,-96,480,735,0
47,1400,280,686,723,-337,-160,583,750,0
48,1195,77,298,513,-359,-211,234,732,0
49,985,39,160,146,-200,-205,1,650,0
50,1016,214,247,-125,-68,-176,67,565,0
51,1066,441,275,-237,35,-206,185,515,0
52,1174,540,297,-209,95,-255,325,480,0
53,1289,543,315,-124,101,-306,433,453,0
54,1300,469,314,-17,68,-338,417,431,0
55,1217,340,299,62,32,-341,298,415,0
56,1082,232,271,90,16,-325,139,399,0
57,977,138,231,71,20,-296,13,380,0
58,850,77,183,14,27,-251,127,354,0
59,750,60,152,-54,30,-199,232,325,0
60,666,80,132,-99,43,-142,316,296,0
61,609,113,122,-109,55,-80,368,265,0
62,602,127,114,-89,56,-15,374,233,0
63,647,142,105,-59,49,55,329,205,0
64,748,162,102,-30,34,131,227,192,0
65,814,194,82,-4,33,210,262,196,0
1,2548,3924,-2357,49,-2,-25,4238,407,0
2,408,990,-1620,-24,70,123,941,354,0
3,933,780,-134,-326,35,-61,223,350,0
4,909,406,165,-296,-108,-106,9,346,0
5,934,395,194,-259,-56,-90,32,333,0
6,978,540,161,-160,75,-30,128,302,0
7,796,605,54,36,124,48,1,269,0
8,729,517,88,198,138,85,101,266,0
9,719,442,60,266,86,81,153,271,0
10,785,396,7,243,49,57,120,267,0
11,921,378,0,171,33,36,4,249,0
12,1042,367,27,80,-4,22,105,216,0
13,1020,371,63,0,-40,21,87,182,0
14,974,370,90,-61,-59,23,45,163,0
15,906,371,98,-119,-71,24,16,158,0
16,837,404,126,-161,-73,19,62,162,0
17,790,455,143,-165,-60,6,77,164,0
18,772,457,137,-134,-37,-13,92,159,0
19,789,404,111,-104,-16,-28,106,149,0
20,812,347,82,-92,-11,-29,113,138,0
21,844,304,71,-92,-17,-18,100,130,0
22,883,272,74,-98,-34,5,73,124,0
23,925,260,87,-107,-49,45,35,124,0
24,1003,284,110,-114,-64,100,48,132,0
27,1182,417,176,-125,-87,222,265,187,0
28,1436,423,140,-152,-69,256,503,210,0
29,1528,240,317,-329,-137,154,578,246,0
30,915,575,263,-194,-234,316,112,284,0
31,560,678,347,-131,-96,274,54,291,0
32,488,783,169,-6,63,229,62,280,0
33,776,857,156,136,209,156,166,283,0
34,1086,920,103,296,315,105,427,315,0
35,1262,769,64,456,310,52,479,362,0
36,1145,511,-14,504,210,-37,253,399,0
37,1067,261,-160,377,109,-105,110,400,0
38,939,195,-241,151,35,-142,11,362,0
39,929,300,-128,11,0,-148,15,319,0
40,971,496,42,139,-6,-144,91,295,0
41,928,318,315,549,1,-69,30,347,0
42,764,-87,212,731,10,113,202,425,0
43,731,0,-48,547,89,216,267,459,0
44,894,239,-35,339,137,205,73,451,0
45,1078,444,-55,221,109,141,167,417,0
46,1187,622,8,235,48,117,340,387,0
47,1279,688,124,352,-32,140,457,385,0
48,1195,669,171,456,-98,157,380,407,0
49,1091,545,193,469,-137,123,234,426,0
50,1046,477,199,368,-180,42,166,423,0
51,1198,492,267,274,-179,-11,322,403,0
52,1395,524,370,215,-199,-24,535,381,0
53,1289,501,471,206,-283,-23,460,375,0
54,1176,293,551,154,-379,-50,331,382,0
55,950,201,540,-13,-447,-95,111,397,0
56,754,230,428,-175,-273,-82,103,384,0
57,823,364,453,-242,-102,-68,7,362,0
58,959,499,486,-184,15,-85,185,330,0
59,1014,531,507,-40,36,-113,251,289,0
60,1015,469,474,98,63,-124,214,265,0
61,1018,367,421,153,116,-125,161,258,0
62,1117,359,379,122,167,-140,232,256,0
63,1195,393,352,82,205,-158,306,259,0
64,1178,413,333,70,233,-176,291,267,0
65,1186,423,312,80,258,-186,252,279,0
1,1435,1550,-551,-665,-481,-106,1182,498,0
2,1870,901,202,-369,-449,586,1085,563,0
3,1698,748,475,-388,-351,580,915,607,0
4,1500,855,502,-273,-306,400,798,600,0
5,1057,734,358,-199,-231,225,335,555,0
6,1044,692,343,-129,-87,158,298,488,0
7,896,652,282,-18,-37,137,143,419,0
8,924,594,234,75,22,127,123,365,0
9,898,528,169,114,40,121,55,326,0
10,821,504,119,113,56,125,29,296,0
11,734,520,92,89,69,121,95,270,0
12,711,589,48,64,111,107,75,249,0
13,764,662,14,54,159,86,11,237,0
14,851,779,6,82,206,61,153,235,0
15,954,855,11,158,218,10,281,242,0
16,1059,833,13,254,201,-65,347,259,0
17,1199,740,4,318,146,-154,408,284,0
18,1331,615,15,325,72,-234,466,308,0
19,1470,506,75,279,-4,-303,556,329,0
20,1618,457,157,211,-55,-352,688,346,0
21,1564,434,204,172,-93,-359,635,358,0
22,1229,416,204,174,-55,-332,313,362,0
23,1157,395,220,191,15,-294,242,359,0
24,1304,400,200,181,30,-266,378,352,0
25,1460,465,185,175,36,-245,543,342,0
26,1591,490,194,183,2,-224,676,331,0
27,1448,429,200,163,-69,-222,523,322,0
28,1357,339,219,80,-110,-240,415,312,0
29,1169,267,225,-47,-138,-268,220,311,0
30,1036,267,248,-155,-118,-295,98,319,0
31,912,296,262,-218,-55,-310,6,332,0
32,846,348,264,-199,18,-305,47,338,0
33,837,354,230,-110,87,-286,62,334,0
34,794,260,175,-2,121,-257,146,324,0
35,696,141,115,66,132,-210,280,310,0
36,639,50,70,93,133,-139,355,291,0
37,619,-17,34,89,116,-49,379,263,0
38,633,-53,14,56,88,55,364,234,0
39,721,27,5,9,43,162,278,220,0
40,773,133,-43,-4,24,260,214,228,0
41,956,270,-91,-16,46,335,2,250,0
42,1239,376,-141,-16,71,415,302,284,0
43,1698,438,-101,-52,4,497,756,327,0
44,2049,541,6,-148,-120,557,1119,379,0
45,2191,703,115,-271,-231,593,1303,441,0
46,1967,754,163,-359,-283,602,1112,504,0
47,1758,742,233,-439,-286,560,922,556,0
50,1205,826,545,-428,-306,199,559,616,0
51,964,749,507,-291,-203,109,321,567,0
52,789,655,438,-141,-82,53,115,488,0
53,739,554,352,-11,16,27,11,397,0
54,770,462,256,53,80,11,66,336,0
55,790,381,192,52,111,-5,102,293,0
56,801,375,139,17,128,3,104,260,0
57,739,486,77,2,166,54,112,243,0
58,695,534,16,10,199,95,123,238,0
59,740,633,-51,-11,220,92,24,238,0
60,905,821,-81,-13,239,59,224,240,0
61,1035,904,-88,36,209,4,377,234,0
62,1053,903,-68,110,163,-76,388,229,0
63,1123,846,-19,186,131,-148,406,237,0
64,1226,748,44,240,102,-214,436,257,0
65,1329,646,113,266,82,-275,350,284,0
1,2298,550,-428,-187,-88,626,1401,495,0
2,2267,455,373,-378,-278,420,1342,522,0
3,2022,740,526,-385,-448,472,1216,568,0
4,1538,554,540,-516,-465,340,721,609,0
5,1054,572,585,-558,-412,212,334,632,0
6,797,615,508,-516,-232,157,127,623,0
7,784,756,493,-363,-133,139,195,580,0
8,671,824,375,-154,-48,100,126,502,0
9,676,759,309,35,15,46,62,413,0
10,682,613,223,144,49,-1,56,361,0
11,650,519,155,161,77,-20,153,324,0
12,636,516,121,144,104,-24,172,295,0
13,689,572,117,135,122,-33,96,273,0
14,767,645,138,156,134,-55,11,261,0
15,874,689,151,199,156,-92,123,262,0
16,990,687,147,239,170,-143,213,275,0
17,1123,661,141,259,190,-205,310,296,0
18,1280,648,165,271,193,-261,444,321,0
19,1450,650,196,291,192,-308,601,350,0
20,1618,602,228,317,191,-353,741,382,0
21,1782,521,256,334,170,-382,874,412,0
24,1873,371,205,198,87,-326,920,432,0
25,1706,378,195,102,41,-297,758,409,0
26,1397,407,196,28,10,-296,468,386,0
27,1202,435,225,0,25,-314,297,372,0
28,1149,431,232,12,57,-332,248,365,0
29,1195,404,229,47,85,-338,282,362,0
30,1207,360,226,90,90,-325,279,359,0
31,1144,279,208,127,91,-298,195,354,0
32,1048,168,176,134,70,-255,75,343,0
33,886,65,136,83,30,-204,101,318,0
34,694,38,111,-3,10,-148,296,284,0
35,579,85,102,-78,27,-89,405,251,0
36,542,140,98,-98,54,-47,431,225,0
37,550,116,71,-73,70,-19,433,201,0
38,583,62,38,-49,73,28,412,179,0
39,636,42,18,-35,65,112,362,170,0
40,770,91,23,-22,39,215,224,179,0
41,1024,185,50,-14,5,320,41,207,0
42,1269,283,69,-21,-31,416,302,249,0
43,1509,371,82,-48,-34,497,556,299,0
44,1867,500,106,-89,-44,559,935,353,0
45,2207,639,135,-115,-97,598,1301,405,0
46,2511,705,190,-181,-158,616,1615,456,0
47,2748,766,288,-290,-269,614,1867,511,0
48,2341,765,372,-417,-361,570,1490,567,0
